Circular Number,Circular Date,Text,Predicted Redshift,Predicted GRB Number,Predicted Telescope Name,Predicted Redshift Type
17672,2015-04-04 12:06:05.000,"GRB 150403A: VLT/X-shooter redshiftV. Pugliese (API/Uva), D. Xu (DARK/NBI), N. R. Tanvir, K. Wiersema (U.
Leicester), J. P. U. Fynbo, B. Milvang-Jensen (DARK/NBI), V. D'Elia
(ASI/ASDC and INAF/Roma) report on behalf of a larger collaboration:

We observed the afterglow of GRB 150403A (Lien et al. GCN 17665; Longo
et al. GCN 17667) with X-shooter at the Very Large Telescope (Paranal
Observatory, Chile). Observations started at 08:44:48 UT on 2015-04-04
(i.e., 10.84 hr after the burst), and consisted of photometry in V-,
r-, z-, and g- bands as well as spectroscopy of 4x600 s exposures
covering the spectral range between 3000 and 25000 AA, equipped with
UVB/VIS/NIR arms.

The optical afterglow is well detected in each photometric image, and
has m(R) ~ 19.1 mag at 10.85 hr post-burst, calibrated with nearby
USNO B1 stars. For the spectroscopy, prominent absorption lines are
detected in a continuum throughout the arms. In a preliminary
reduction we detect absorption features of SII, SiIV, OI, SiII, SiII*,
CII, CII*, CIV, AlII, NiII*, FeII, FeII*, MnI, MgII, MgI at a common
redshift of z = 2.06, which is consistent with a broad Lya trough at
the same redshift. We suggest this is the redshift of the GRB.

We also detect an intervening system at z=1.76, identified with
absorption lines of SiII, CIV, AlII, and so on.

We acknowledge the excellent support provided by Paranal staff, and in
particular Andrea Mehner, and Emanuela Pompei.",z = 2.06,GRB 150403A,Very Large Telescope (VLT),Spectroscopic
17697,2015-04-14 10:34:25.000,"GRB 150413A: redshift determination with the 2.2m CAHAR. Sanchez-Ramirez (UPV/EHU, IAA-CSIC), A. J. Castro-Tirado (IAA-CSIC,
ISA-UMA), F. Hoyos and J. Aceituno (CAHA), on behalf of a larger
collaboration, report:

Following the detection of GRB 150413A by Swift (Markwardt et al. GCNC
17688) we have obtained a 1200s+1800s spectrum at the position of the
optical afterglow (Ivanov et al. GCNC 17689, Serino et al. GCNC 17691,
Schmalz et al. GCNC 17692, Xu et al. GCNC 17693, Klose et al. GCNC 17694).
Observations were carried out with the 2.2m CAHA telescope (+ CAFOS) at
the German-Spanish Calar Alto Observatory, starting at 20:25 UT. (i.e. 6.5
hr post-burst) under poor weather and seeing conditions. After a
preliminary reduction, we have detected a broad absorption line which we
identify as Lyman-alpha at a reshift of z = 3.2. Due the low SNR of the
combined spectrum, we only detect several lines at low significance (Ni
II, Si IV, C IV, Fe II,) consistent with this redshift, which we propose
to be the redshift of GRB 150413A.

We acknowledge excellent support of the CAHA staff.",3.2,GRB 150413A,2.2m CAHA telescope (+ CAFOS),Spectroscopic
17710,2015-04-16 20:59:00.000,"GRB 150413A: Refined redshiftA. de Ugarte Postigo (IAA-CSIC, DARK/NBI) and L. Tomasella (INAF-OAPd) 
report:

We have reanalysed the spectra of the afterglow of GRB 150413A (Markwardt 
et al. GCN 17688, Ivanov et al. GCN 17689) obtained by the Asiago Transient 
Classification Program (Tomasella et al. 2014, AN, 335, 841) with the Asiago 
1.82 m Copernico Telescope +AFOSC (Tomasella et al. ATel 7391). In addition 
to the Ly-alpha feature already reported, we identify absorption features of SiII, 
SiII*, CII, SiIV, CIV, FeII and AlII at a common redshift of 3.139+/-0.003, slightly 
lower than previously reported by Sanchez-Ramrez (GCN 17697) and by 
Tomasella et al. (ATel 7391). In addition we report a tentative detection of a MgII 
intervening absorber at z=0.950+/-0.003.",3.139+/-0.003,GRB 150413A,Asiago 1.82 m Copernico Telescope +AFOSC,Spectroscopic
17731,2015-04-23 10:46:32.000,"GRB 150413A: Konus-Wind and Swift/BAT joint spectral analysisS. Golenetskii, R.Aptekar, D. Frederiks, V. Pal'shin, P. Oleynik,
M. Ulanov, D. Svinkin, A. Tsvetkova, A.Lysenko, and T. Cline
on behalf of the Konus-Wind team, and

T. Sakamoto (AGU), S. D. Barthelmy (GSFC), W. Baumgartner (GSFC/UMBC),
J. Cummings (GSFC/UMBC), E. Fenimore (LANL), N. Gehrels (GSFC),
H. Krimm (GSFC/USRA), C. Markwardt (GSFC), D. Palmer (LANL), M.
Stamatikos (OSU) and T. Ukwatta (GWU), report:

We performed the Konus-Wind and the Swift/BAT joint spectral analysis of
GRB 150413A
(Swift/BAT trigger #637899: Markwardt et al., GCN Circ. 17688; Stamatikos
et al., GCN Circ. 17701).
Since the Konus-Wind observed this GRB in the waiting mode, we only have 3
channel spectral data for
the Konus-Wind which cover the energy range from 20 keV to 1.2 MeV.

The joint spectral analysis of the Konus-Wind and the Swift/BAT data
allows us
to derive the broad-band spectral parameters of this burst.

The time intervals of the spectral data for each instrument are chosen
from T0(BAT)-102.150 s to T0(BAT)+159.866 s (the time-integrated spectrum)
and from T0(BAT)+95.098 s to T0(BAT)+118.650 s (the spectrum of the most
prominent pulse)
where T0(BAT) is the trigger time of BAT at 13:54:58 UTC.

The energy ranges which we used in the joint spectral analysis are 20-1200
keV and 15-150 keV
for the Konus-Wind and the Swift/BAT respectively.  The spectral data of
two instruments
are fitted with the spectral model multiplied by the constant factor to
take into account
the systematic effective area uncertainties in the response matrices of
each instrument.

The spectrum of the most prominent pulse is well fitted with
a power-law with exponential cutoff model: dN/dE ~
E^{alpha}*exp(-(2+alpha)*E/Epeak).
No systematic residual from the best fit model is seen in the spectral
data of each instrument.

The BAT constant factor is  0.71(-0.12,+0.16) (the KW constant factor is
fixed to 1).
The best fit spectral parameters are:
alpha = -1.01(-0.44,+0.65), and
Epeak = 96(-22,+56) keV (chi2/dof = 60/57).

The best fit spectral parameters for the GRB (Band) model fixing beta =
-2.5 are:
alpha =  -1.00(-0.51,+0.84), and
Epeak = 91(-26,+77) keV
(chi2/dof = 63/57).

The time-integrated spectrum is well fitted with a power-law model
with the the photon index 1.77(-0.09,+0.09), chi2/dof = 68/58.
The BAT constant factor is  0.70(-0.09,+0.11) (the KW constant factor is
fixed to 1).
The energy fluence in the 15-1200 keV band calculated by a power-law model
for this 262.016 s interval is 1.42(-0.19,+0.20)x10^-5 erg/cm2.

Assuming a redshift of 3.139 (de Ugarte Postigo and Tomasella, GCN Circ.
17710)
and a standard cosmology model with H_0 = 67.3 km/s/Mpc, Omega_M = 0.315,
Omega_Lambda = 0.685,
the isotropic energy release in the 1 keV - 10 MeV energy range is
E_iso = 6.53(-1.29,+1.62)x10^53 erg.

All the quoted errors are at the 90% confidence level.

The Konus-Wind light curve of this GRB is available at
http://www.ioffe.ru/LEA/GRBs/GRB150413A/",3.139,GRB150413A,Konus-Wind,Spectroscopic
17744,2015-04-24 09:15:25.000,"GRB 150423A: Keck redshift of neighboring galaxyD. A. Perley (Caltech) reports:

Further to GCN 17733, I report analysis of the spectroscopy acquired of 
  S2, the neighboring object located 4.0 arcseconds northeast of the 
optical afterglow of GRB 150423A, first announced by Varela et al. (GCN 
17732).

The spectrum of this object shows weak emission lines from OII (3727), 
OIII (5007), Halpha (6563), and marginally Hbeta (4861), all at a common 
redshift of z=0.456.  No features are visible in the trace of S1 at any 
of the same wavelengths (or elsewhere in its spectrum).

At this redshift, the offset between the sources corresponds to 23 kpc 
in projection.

Further observations of S1 will be necessary to determine whether it is 
entirely afterglow or if it also contains flux from a (coincident) host 
galaxy, perhaps at a different redshift.",z=0.456,GRB 150423A,Keck Observatory,Spectroscopic
17755,2015-04-24 22:10:20.000,"GRB 150423A: VLT/X-shooter spectroscopy and tentative redshiftD. Malesani (DARK/NBI), T. Kruehler (ESO), D. Xu (NAOC/CAS), G. Pugliese (API/Uva), D. Watson, J. P. U. Fynbo, B. Milvang-Jensen (DARK/NBI), A. de Ugarte Postigo (IAA/CSIC and DARK/NBI), N. R. Tanvir (U. Leicester), V. D'Elia (ASI/ASDC and INAF/Roma), K. Wiersema (U. Leicester),  J. Greiner(MPE Garching), J. Japelj (U. Ljubljana) report on behalf of a larger collaboration:

We observed the optical afterglow (Varela et al., GCNs 17729, 17732, Perley, GCN 17733, Littlejohns et al. GCN 17736, Kann et al. GCN 17738, Fong & Milne GCN 17741) of the Swift short-GRB 150423A (Pagani et al. GCN 17728) with the VLT equipped with the X-shooter spectrograph in the rapid response mode (RRM).

A series of individual spectra with a total exposure time of around 5000 s were obtained starting on 2015-04-23 06:50 UT, which is 22 minutes after the BAT trigger.

A preliminary analysis of the spectrum reveals a faint and blue continuum detected down to 3200 AA. This sets a robust upper limit of z < 2.5 to the redshift of the GRB. Similarly to Perley (GCNs 17733, 17744), we do not detect obvious absorption or emission features in our spectra. There is, however, a tentative detection of a doublet in absorption at around 6900 AA. If real, the lines match the Mg II doublet at a redshift of z = 1.394.

We acknowledge the excellent support provided by Paranal staff, and in particular Fernando Selman and Emanuela Pompei.",z = 1.394,Swift short-GRB 150423A,VLT equipped with the X-shooter spectrograph,Spectroscopic
17758,2015-04-25 01:34:57.000,"GRB 150424A: 10.4m GTC spectroscopyA. J. Castro-Tirado (IAA-CSIC, ISA-UMA), R. Sanchez-Ramirez (UPV/EHU,
IAA-CSIC), G. Lombardi (IAC, ULL, GRANTECAN) and M. A. Rivero (GRANTECAN),
on behalf of a larger collaboration, report:

Following the detection of the short-duration GRB 150424A by Swift/BAT
(Beardmore et al. 2015, GCNC 17743) and Konus-Wind (Golenetskii et al.
GCNC 17752), we have obtained an optical spectrum (2 x 900s) with the
10.4m GTC telescope (+OSIRIS) in La Palma (Spain), starting on Apr 24,
21:30 UT (i.e. 13.8 hr postburst), covering the 3700-10000 wavelength
range. The slit included the position of the proposed optical afterglow
(Perley and McConnell, GCNC 17745; Marshall and Beardmore, GCNC 17751;
Malesani et al., GCNC 17756; Kann et al. GCNC 17757) as well as the
extended galaxy 5 arcsec to the southwest (Perley and McConnell GCNC
17745).

At the position of the optical afterglow, we see no obvious absorption
features with the continuum extending to 3700 A (implying an upper limit
of z < 3 to the redshift of the GRB). At the position of the nearby
galaxy, we detect [O II] and H-alpha in emission at a redshift z = 0.30.
At this redshift, 5 arcsec corresponds to 22.5 kpc. A more detailed data
reduction is ongoing.

We acknowledge D. Perley for providing the corresponding ID-chart.",z = 0.30,GRB 150424A,10.4m GTC telescope (+OSIRIS),Spectroscopic
17759,2015-04-25 01:52:26.000,"GRB 150424A: spectral lag, extended-time emissionJ. P. Norris (BSU), S. D. Barthelmy (GSFC), J. R. Cummings (GSFC/UMBC),
and N. Gehrels (GSFC) report:

We report spectral lag and extended emission measurements for the intense,
short GRB 150424A (trigger=638946; GCN Circ. 17743, 17745 & 17756) based
on Swift-BAT data.

Using a 4-ms binned light curve, the lag for the 25-50 keV to 100-350 keV bands
is estimated as 0.6 (+0.6/-1.0) ms; and -2.4 (+1.3/-0.7) ms for the 15-25 keV
to 50-100 keV bands.

A Bayesian Block analysis of the mask-tagged data reveals one significant
block of duration ~ 106 seconds at a level of 0.006 counts/det/s, following
the intense, initial pulse complex.  This extended emission component is
three orders of magnitude lower than the peak intensity of the burst,
~ 5.3 counts/pixel/s.",No Redshift,GRB 150424A,Swift,No Information
17822,2015-05-16 01:30:16.000,"GRB 150514A: VLT/X-shooter redshiftA. de Ugarte Postigo (IAA-CSIC, DARK/NBI), D. Xu (NAOC/CAS), 
D. Malesani (DARK/NBI), N. R. Tanvir (U. Leicester) report on behalf of 
the X-shooter GRB collaboration:

We observed the optical afterglow of GRB 150514A (Kocevski et al. 
GCN 17816, Kennea et al. GCN 17818, Roberts et al. GCN 17819, 
Marshall et al. GCN 17820, Yates et al. GCN 17821) with X-shooter 
at the Very Large Telescope (Paranal Observatory, Chile). Observations 
started at 23:04 UT on 15 May 2015 (28.4 hr after the burst) and 
consisted of 4 x 600 s exposures covering the range between 3000 and 
24800 AA.

The afterglow is well detected in the acquisition image at R(Vega) = 
19.5 mag, calibrated with two nearby USNO B1 stars. The spectrum 
shows a clear continuum over the entire range and absorptions of FeII, 
MgII and MgI at a common redshift of 0.807, which we consider to be 
the redshift of the GRB.

We acknowledge the excellent support provided by Paranal staff, and in
particular John Pritchard and Dimitri Gadotti.",0.807,GRB 150514A,Very Large Telescope (VLT),Spectroscopic
17832,2015-05-20 07:44:28.000,"GRB 150518A: VLT/X-shooter redshift of the likely host galaxyD. Xu (NAOC/CAS), A. J. Levan (Univ. Warwick), A. de Ugarte Postigo 
(IAA/CSIC), N. R. Tanvir (Univ. Leicester), D. Malesani (DARK/NBI), J. 
P. U. Fynbo (DARK/NBI), report on behalf of the X-shooter GRB collaboration.

We observed the optical counterpart (Xu et al., GCN 17829; Mao et al., 
GCN 17830; Littlejohns et al., GCN 17831) of the MAXI GRB 150518A 
(Kawamuro et al., GCN 17825; Sbarufatti et al., GCN 17827) using the 
X-shooter spectrograph at the ESO Very Large Telescope (VLT).

A total of 40 min integration was secured starting on 2015 May 20.184 UT 
(1.28 days after the GRB) covering the wavelength range 3000-18000 AA. 
The counterpart, which may include light from both host galaxy and 
afterglow, is clearly detected, and a number of prominent emission lines 
are visible. Among others, we identify the Balmer lines, [O II] 3727, [O 
III] 4957,5007, [N II], [S II], all at a common redshift of z = 0.256.

At this redshift, any supernova similar to other associated with GRBs 
would peak at R ~ 21. Although extinction along the line of the sight to 
the burst is unknown at present, the low redshift makes GRB 150518A an 
ideal opportunity for supernova characterisation.

We acknowledge excellent support from the observing staff in Paranal, in 
particular Dimitri Gadotti, Marcelo Lopez, and John Pritchard.",0.256,GRB 150518A,ESO Very Large Telescope (VLT),Spectroscopic
1785,2003-01-03 21:07:37.000,"VLT spectroscopy of the probable host of GRB 021211Paul Vreeswijk (ESO), Andrew Fruchter (STScI), Jens Hjorth (University
of Copenhagen) and Chryssa Kouveliotou (MSFC) report for the GRACE
collaboration:

On the night of 29/30 December 2002, the field of GRB 021211 was
re-observed in spectroscopic mode with FORS2 at unit-4 of ESO's VLT at
Paranal, Chile. The total exposure time was 30 min in the 300V grism,
covering approximately 4000-9300A with a resolution of about 12A. The
slit, with a width of 1"", was positioned to cover the position of the
probable host galaxy, as well as the galaxy 1.5"" to the North-East
(see Fruchter et al., GCN 1781). The seeing during the observations
was ~0.7"".

Preliminary reduction of these spectra confirm that the redshift of
the nearby galaxy is z=0.800+-0.001 (see Vreeswijk et al., GCN
1767). Due to a reference star also being in the slit, there is no
ambiguity in the identification of this galaxy as the source of these
emission lines (again [OII] and [OIII]).

At the position of the probable host, we find one clear emission line
at 7476A with an observed equivalent width of 66 +- 8 A (Poisson error
only). The continuum level just redward of the line is similar to that
on the blue side, suggesting that the line is not Lyman alpha. The
most likely identification is [OII] 3727A at a redshift of z=1.006. At
this redshift, other prominent emission lines such as Hbeta and [OIII]
5007A fall outside our spectral coverage. If the line were Halpha, we
would have expected to see [OII] and [OIII] in the blue part of the
spectra, which we do not detect. An alternative identification of the
emission line is [OIII] 5007A, which would put the host at z=0.493. 
However, in this case we would have expected to also detect [OII]
(although it would be very close to a bright sky line), assuming that
its flux would be more than about half the flux of [OIII] 5007A.

The [OII] at z=1.006 identification is strengthened by flux
calibration of the spectra, which shows a drop of about 1 magnitude
between the 8000-9000A continuum and that blueward of the emission
line. This is consistent with the red HST V-I colour reported by
Fruchter et al., and with the possibility that this colour is caused
by the 4000A break.

We are grateful for the assistence of the staff at Paranal, in
particular Thomas Szeifert and Elena Mason.",1.006,GRB 021211,VLT,Spectroscopic
18080,2015-07-28 05:14:42.000,"GRB 150727A: VLT/X-shooter redshiftN. R. Tanvir (U. Leicester), D. Xu (NAOC/CAS), T. Zafar (ESO), S. Covino (INAF/OABr), S. Schulze (PUC, MAS) report for a larger collaboration:

We observed the afterglow of GRB 150727A (Cenko et al. GCN 18076) with VLT/X-shooter, beginning at 2015-07-28 00:01 UT, about 5 hr after the burst.

Preliminary analysis of the spectrum reveals emission lines of Halpha, Hbeta and [OIII] 4959/5007 at a redshift of z=0.313. There is only marginal evidence of the [OII] 3727 doublet, suggesting the emission lines are coming from a dust obscured region (consistent also with a high Ha:Hb ratio). The continuum is faint with no clear absorption lines, but can be traced in the blue as far as the instrumental cut-off at about 3100A. Despite the absence of detected absorption features, it is likely that the emission lines are from the host galaxy and therefore that this redshift is also that of the GRB.",z=0.313,GRB 150727A,VLT/X-shooter,Spectroscopic
1809,2003-01-15 10:39:40.000,"GRB 021211: VLT spectrumM. Della Valle (INAF-OAA), S. Benetti (INAF-OAPd), D. Malesani (SISSA),
E. Mason (ESO), L.A. Antonelli (INAF-OAR), G. Cocozza, (INAF-OAR), S.
Covino (INAF-OABr), D. Fugazza (INAF-TNG), G. Ghisellini (INAF-OABr),
G.L. Israel (INAF-OAR), L. Stella (INAF-OAR), and V. Testa (INAF-OAR),
on behalf of a larger Italian collaboration, report:


A low resolution spectrum of the probable host galaxy of GRB 021211 (Fox
& Price, GCN 1731; Crew et al., GCN 1734) was obtained under modest sky
(cirrus) and seeing (between 0.6"" and 1.4"") conditions, starting on 2003
Jan 8.27, with UT4 (Yepun) + FORS2 at the ESO-VLT. The spectrum covers
the range of wavelengths 6000A-11000A with a resolution of about 17A
(grism 150I). The total exposure time was 4h. We obtained the spectrum
for both the complex afterglow+host and the nearby galaxy 1.5"" NE (e.g.
Caldwell et al., GCN 1759), that we confirm to be at z=0.80 (Vreeswijk
et al., GCN 1756 & 1767).

We clearly detect the emission line at 7472.9A already found by
Vreeswijk et al. (GCN 1785). In addition we have identified three
additional emissions at 9722.0A, 9954.9A and 10022.8A. We interpret the
four lines as due to [OII] 3727A, Hbeta and [OIII] at 4959A and 5007A in
the rest frame of the host galaxy, observed at a redshift of
z=1.004+-0.002.


We thank the kind assistance of the staff at Paranal, in particular
Riccardo Scarpa and Andreas Kaufer.

This message can be cited.",1.004+-0.002,GRB 021211,ESO-VLT,Spectroscopic
18177,2015-08-19 22:15:53.000,"GRB 150818A: 10.4m GTC spectroscopy and host galaxyR. Sanchez-Ramirez (UPV/EHU, IAA-CSIC), J. Gorosabel (+, UPV/EHU,
IAA-CSIC), D. Perez-Ramirez (+, Univ. de Jaen), S. Jeong (IAA-CSIC, SKKU),
A. J. Castro-Tirado (IAA-CSIC, ISA-UMA), F. J. Aceituno, R. Cunniffe, P.
Ferrero, Y. Hu, S. R. Oates, J. C. Tello, B.-B. Zhang (IAA-CSIC), M.
Jelinek (ASU-CAS), S. Guziy (Nikolaev Univ.), V. Sokolov (SAO-RAS), J.M.
Castro Ceron (ESAC), J. Cepa (IAC), A. Garcia (GRANTECAN) and R. Scarpa
(IAC, GRANTECAN), report:

Following the detection of GRB 150818A by Swift/BAT (D Elia et al. 2015,
GCNC 18152), we have obtained an optical spectrum (2 x 900s) with the
10.4m GTC telescope (+OSIRIS) in La Palma (Spain), starting on Aug 18,
22:05 UT (i.e. 10.5 hr postburst), covering the 3700-7800 A wavelength
range. The slit included the position of the proposed optical afterglow
(Marshall and D Elia, GCNC 18155; Schulze et al., GCNC 18164; Mazaeva et
al. GCNC 18175).

At the position of the optical afterglow, we see no obvious absorption
features with the continuum extending from 3700 to 7800 A. However we
clearly detect emission lines of [OII] 3727A, H-beta and [OIII]
4960A,5008A, all at a common redshift z = 0.282. Indeed a diffuse object
seems to be adjacent (within 1 to the west) to the optical afterglow in
the acquisition image (under 0.7 seeing), which could be the host galaxy
at the above mentioned redshift.

Further spectroscopy and monitoring at all wavelengths is encouraged to
search for the emergence of the underlying supernova component in the next
weeks.",0.282,GRB 150818A,10.4m GTC telescope (+OSIRIS),Spectroscopic
18187,2015-08-21 11:30:04.000,"GRB 150821A: VLT/X-shooter redshiftV. D'Elia (ASI/ASDC and INAF-OAR), T. Kruehler (ESO), K. Wiersema (U. 
Leicester), N. R. Tanvir (U. Leicester), J. Japelj (U. Ljubljana), G. 
Pugliese (API/UvA), D. Malesani (DARK/NBI), B. Milvang-Jensen 
(DARK/NBI), J. P. U. Fynbo (DARK/NBI), report on behalf of a larger 
collaboration:

We observed the optical counterpart of GRB 150821A (Troja et al., GCN 
18186) with the ESO VLT equipped with the X-shooter spectrograph. Four 
spectra with individual exposure time of 600 s were secured covering the 
wavelength range 3,000-25,000 AA. Observations were carried out in 
robotic ""rapid response mode"" (RRM) and spectroscopy began 12.4 min 
after the BAT trigger (7.7 min after the XRT position, at which point 
the VLT was triggered). The afterglow is well detected in our 
acquisition image, with a magnitude of R ~ 16 (11.1 min after the GRB), 
calibrated to one nearby USNO star.

We detect a number of absorption features at a common redshift of z = 
0.755, including Mg II, Mg I, Fe II, Zn II. We also detect 
fine-structure lines at the same redshift (e.g. FeII* 2396 / 2389, and 
Ni II** 2166 / 2217 / 2223), confirming that the absorption system is 
local to the GRB and not intervening.

We thank the kind assistence of the observing staff at Paranal, in 
particular Claudia Cid and Marcela Espinoza.",0.755,GRB 150821A,ESO VLT,Spectroscopic
18213,2015-08-31 17:49:21.000,"GRB 150818A: Spectroscopic confirmation of the SN from GTCA. de Ugarte Postigo (IAA-CSIC, DARK/NBI), Z. Cano (U. Iceland), 
D. A. Perley (DARK/NBI), S. Schulze (PUC, MAS), D. Xu (NAOC/CAS), 
R. Sanchez-Ramirez (IAA-CSIC), D. Malesani (DARK/NBI), G. Lombardi 
(GRANTECAN, IAC, ULL), and A. Garcia (GRANTECAN), R. Scarpa 
(GRANTECAN) report on behalf of a larger collaboration:

We observed the counterpart of GRB 150818A (D'Elia et al. GCN 18152; 
Marshall et al. GCN 18155; McCauley et al. GCN 18161; Mazaeva et al. 
GCN 18175; Sanchez-Ramirez et al. GCN 18177; Mazaeva et al. GCN 
18182, GCN 18189, GCN 18205; Schulze et al. GCN 18179) with the 
10.4 m GTC telescope (+OSIRIS) on the 29th August 2015 (11.4 days 
after the burst). The observation consisted of 3x900 s spectroscopy using 
the R1000B grism (3700-7800 AA coverage with a resolution of ~1000) 
plus g-, r- and i-band imaging. We detect a point-like source at the location 
of the afterglow superposed on top of an extended source. 

The combined spectrum shows broad features typical of a broad-lined 
Type Ic SN near maximum light, thus confirming the detection of a rising 
supernova proposed by Mazaeva et al. (GCN 18205). The spectrum also 
shows narrow emission features of [OII], [OIII] and H-beta at z=0.282 
(Sanchez-Ramirez et al. GCN 18177).",0.282,GRB 150818A,10.4 m GTC telescope (+OSIRIS),Spectroscopic
18273,2015-09-11 00:05:09.000,"GRB 150910A: Kast spectroscopy from 3m Shane telescopeWeiKang Zheng, Alexei V. Filippenko and Heechan Yuk (UC Berkeley),
Yinan Zhu (NAOC) and Daniel A. Perley (Dark Cosmology Center)
report on behalf of the KAIT GRB team:

We observed the optical afterglow of GRB 150910A (Pagani et al., 
GCN 18264; Zheng & Filippenko, GCN 18265) with the Kast spectrograph
on the 3m Shane telescope at Lick Observatory, started at 10:08 UT
(about 1.1 hours after the burst), covering the 3500 - 10000 A   
wavelength range. A 1200-second and a 2400-second exposures
were acquired.

The spectrum shows blue continuum flux across the entire spectral
range. We detect absorption lines from Mg II (2796,2803) and Fe II
(2344,2374,2383) at a common redshift of z=1.359, as well as additional
lines further to the blue. We suggest this as the likely redshift of
the GRB.",z=1.359,GRB 150910A,3m Shane telescope at Lick Observatory,Spectroscopic
18274,2015-09-11 00:17:10.000,"GRB 150910A: Redshift from 10.4m GTC+OSIRISAntonio de Ugarte Postigo (IAA-CSIC, DARK/NBI), Christina Thoene (IAA-CSIC), 
Gianluca Lombardi (IAC, ULL, GRANTECAN), and Alberto Perez (GRANTECAN) 
report on behalf of a larger collaboration:

We have observed the afterglow of GRB 150910A (Pagani et al., GCN 18264) 
using the 10.4 m GTC telescope equipped with OSIRIS. Our observation began 
at 23:11 UT (14.1 hr after the burst) and consisted of 3x900s exposures using the 
R1000B grism. The spectrum covers the wavelength range between 3700 and 
7800 AA.

The acquisition image shows the afterglow at a magnitude of r=20.65+/-0.07 as 
compared to SDSS stars.

The first spectrum shows a continuum throughout the full spectral range, with 
several absorption features that correspond to AlII, AlIII, FeII, MgII and MgI at a 
common redshift of 1.360, which we interpret as the redshift of the GRB.",1.360,GRB 150910A,GTC,Spectroscopic
18296,2015-09-12 19:09:18.000,"GRB 150906B: theoretical estimation of redshift and isotropic energyR. Ruffini, C.L. Bianco, M. Enderli, M. Kovacevic, L. Li, M. Muccino, R. Moradi, G.B. Pisani, J.A. Rueda, Y. Wang report:

In the GCN 18263 (Levan et al. 2015), the galaxy NGC 3313 (z=0.0124, d=54 Mpc), which lies within the detection horizon of Advanced-LIGO/VIRGO, is presumed to be the host galaxy of GRB 150906B. Consequently, the isotropic energy of GRB 150906B is inferred Eiso~10^{49} erg. In the GCN 18259 (Golenetskii et al., 2015) from Konus-Wind, the time-averaged spectrum of GRB 150906B fitted by a cutoff power law gives the peak energy Ep = 928(-95,+111) keV in the observer's frame.

From previous GRB statistics (see attached figure [1] and ref. [2]), a typical short GRB with Ep~1 MeV corresponds to Eiso~10^{51} erg. With a fluence of 2.8(-0.2,+0.2)x10^{-5} erg/cm2 from GCN 18259, the redshift of GRB 150906B is expected to be z > 0.06 (266 Mpc), most probably z~0.12 (555 Mpc). Therefore the host galaxy of GRB 150906B could be one of the others nearby.

This type of short GRBs with Eiso < 10^{52} erg originate from merging neutron stars (NSs) leading to a massive NS and not to a black hole [3]. In view of the small value of the energetic, we indicate these sources as short gamma-ray flash (SGRF). As opposed to the more energetic short gamma-ray bursts, the SGRFs never have GeV emission.


 [1] The MuRuWaZha Ep-Eiso relation: <http://www.icranet.org/documents/MuRuWaZha.pdf>
 [2] Zhang, F.-W., Shao, L., Yan, J.-Z., et al. 2012, ApJ 750, 88
 [3] Ruffini, R., Muccino, M., Kovacevic., et al. 2015 ApJ 808, 190",z~0.12 (555 Mpc),GRB 150906B,Advanced-LIGO/VIRGO,Spectroscopic
18318,2015-09-16 07:51:37.000,"GRB 150915A: VLT/X-shooter redshiftV. D'Elia (ASI/ASDC and INAF-OAR), T. Kruehler (MPE), D. Xu (NAOC/CAS), Pall Jakobsson (Univ. Iceland), N. R. Tanvir (U. Leicester), A. de Ugarte Postigo (IAA/CSIC), D. Malesani (DARK/NBI) and J. P. U. Fynbo (DARK/NBI), report on behalf of a larger collaboration:

We observed the optical counterpart of GRB 150915A (D'Elia et al., GCN 18315) with the ESO VLT equipped with the X-shooter spectrograph. Four spectra with individual exposure time of 1200 s were secured covering the wavelength range 3,000-21,000 AA. Spectroscopy began 3.3 hr after the BAT trigger. The afterglow is well detected in our acquisition image at the position of the optical counterpart (Yates et al., GCN 18317).

We detect a number of absorption features at a common redshift of z = 1.968, including Ly-a, C IV, Al II, Si II, Fe II, Mg II. We also detect fine-structure lines at the same redshift (e.g. FeII* 2396 / 2389, and Si II* 1533). Finally, we report strong emission lines of [O II], H-alpha and H-beta at a similar redshift, thus confirming z=1.968 as the GRB/host galaxy redshift.

We thank the kind assistence of the observing staff at Paranal, in particular Steve Ertel.",z = 1.968,GRB 150915A,ESO VLT,Spectroscopic
