Circular Number,Circular Date,Text,Predicted Redshift,Predicted GRB Number,Predicted Telescope Name,Predicted Redshift Type,Parsed Redshift
6166,2007-03-02 10:53:40.000,"GRB 060605 new redshiftS. Savaglio, MPE Garching, E. Palazzi, INAF-IASF, Bologna,
P. Ferrero & S. Klose, TLS Tautenburg, report:


We have re-analyzed the spectrum of GRB 060605 afterglow taken with 
the Integral Field Unit PMAS/PPak (Ferrero et al. 2006, GCN 5489). We 
found a new strong SiIV absorption system with Ly-alpha, at redshift 
z=3.78. This redshift is higher than the previous claimed redshift of 
the GRB, z=3.711 (Ferrero et al. 2006, GCN 5489), which also show 
SiIV absorption. These two SiIV absorptions are separated by about 
4000 km/s, and are similar to the double CIV absorption detected in 
the afterglow of GRB 021004 (separation 2400 km/s; Savaglio et al. 
2002, GCN 1633; Fiore et al. 2005, 624, 853) and GRB 030226 
(separation 2400 km/s; Klose et al. 2004, AJ 128, 1942).
A redshift z=3.8 for GRB 060605 was previously suggested by Peterson 
et al. (GCN 5223).

This message may be quoted.",3.78,GRB 060605,TLS Tautenburg,Spectroscopic,3.78
5217,2006-06-05 11:24:28.000,"GRB 060512: Keck RedshiftGRB 060512: Keck Redshift

J. S. Bloom, R. J. Foley, D. Koceveki, D. Perley (UC Berkeley) report:

""On 31 May 2006 UT, we observed a source consistent with the position  
of the X-ray and optical afterglow of GRB 060512 (Cummings et al. GCN  
5117; Mundell et al. GCN 5119) with the Keck I (+LRIS) telescope. In  
a single 1200 sec spectrum we detect emission features at 5380, 7014,  
7155, and 7224 Ang which we identify as [O II] 3727, H beta, and [O  
III] 4959, 5007 at a redshift of z = 0.4428. The [O II] feature is  
resolved as a doublet. This source is therefore is likely the host  
(cf. Cenko et al. GCN 5156). This redshift confirms the hypothesis by  
Piranomonte et al. (GCN 5145), that z_GRB < 2.3, would apparently  
refute the claim that at z_GRB ~ 2.7 - 2.9 (Starling et al. GCN  
5131).  Analysis of other imaging and spectra is on going. Given the  
relatively low redshift and the current time since the burst,  
observations are encouraged to search for any associated supernova  
which would currently be near peak brightness.""

This message may be cited.",0.4428,GRB 060512,Keck I (+LRIS),Spectroscopic,0.4428
5002,2006-04-24 17:27:34.000,"GRB060418: Further Analysis of MIKE SpectroscopyJ. X. Prochaska (UCO/Lick Observatory), H.-W. Chen (U Chicago), J. S.  
Bloom (UC
Berkeley), E. Falco, and A. K. Dupree (Harvard-Smithsonian CfA)  
report on behalf of the
GRAASP collaboration:

""We have further analyzed the echelle spectra of GRB060418 (Falcone  
et al.
GCN 4966), obtained using MIKE on the Magellan Clay telescope (Dupree  
et al.
GCN 4969).  We report the detection of ZnII, SiII, SiII*, FeII, FeII*,
MgII, MgI, AlIII, CIV and NiII transitions among others at a redshift
z=1.4901 +/- 0.0001.  The relative populations of the excited
FeII levels are similar to GRB051111 (PHB06, astro-ph/0601057); the  
J=7/2 to
J=1/2 states follow a Boltzmann distribution with T=1000-5000K.
But, following GRB051111 and GRB050730, we interpret the FeII excitation
as the result of indirect UV pumping by the GRB afterglow.  The  
detection
of strong MgI absorption places this gas (and presumably the majority of
low-ion gas) at a distance r>50pc from the GRB.  Finally, we measure
[Si/Fe]=+0.5dex indicating a modest dust-to-metals ratio.

This message may be cited.""",z=1.4901 +/- 0.0001,GRB060418,Magellan Clay telescope,Spectroscopic,1.4901
4803,2006-02-21 16:59:19.000,"GRB060218: VLT spectroscopyN. Masetti, E. Palazzi (INAF-IASF, Bologna), E. Pian (INAF, OA 
Trieste) and F. Patat (ESO), on behalf of the GRACE collaboration, report:

""On 2006 February 21.051 UT we acquired a 30-min spectrum of the optical 
transient associated with the possible GRB060218 (Cusumano et al., GCN
4775) with VLT-Antu equipped with FORS2 and low resolution grating 
300V+GG435. We confirm the presence of narrow nebular lines at redshift
z = 0.033 (Mirabal & Halpern, GCN 4792). We also note that the spectral
continuum shows an overall shape which resembles that of supernova 1997ef 
around maximum (Iwamoto et al., 2000, ApJ, 534, 660).

This may suggest that, if this object is a SN associated with GRB060218,
it is either rapidly evolving or it exploded days before the GRB.

We acknowledge the assistance of the ESO-Paranal staff.


This message may be cited.""",0.033,GRB060218,VLT-Antu equipped with FORS2 and low resolution grating 300V+GG435.,Spectroscopic,0.033
4792,2006-02-20 03:32:23.000,"GRB 060218: MDM RedshiftN. Mirabal (U. Michigan) and J. P. Halpern (Columbia U.) report on behalf
of the MDM Observatory GRB follow-up team:

""We obtained a low-resolution spectrum of the optical afterglow and
host galaxy of GRB 060218 using the MDM 2.4m telescope and Boller &
Chivens (CCDS) Spectrograph on Feb. 20 02:20 UT.  Strong, narrow emission
lines of H-beta, [O III] 4959,5007, and H-alpha at z=0.0331 are seen,
superposed on a blue continuum, which is still much brighter than the
SDSS pre-burst magnitudes.  The line ratios are typical of a high-excitation 
starburst.  This confirms the low-redshift, extragalactic nature of this
unusual GRB.

This message may be cited.""",0.0331,GRB 060218,MDM Observatory,Spectroscopic,0.0331
4692,2006-02-06 09:34:16.000,"GRB 060206: Spectroscopic RedshiftJohan P. U. Fynbo, Marceau Limousin, José María Castro Cerón,
Brian L. Jensen (DARK Cosmology Centre), Jyri Näränen (Helsinki
Observatory) report on behalf of a larger collaboration:

""From the calibrated ALFOSC spectrum of the afterglow of GRB 060206
(GCN #4682, #4683, #4684, #4686) we measure a redshift of
z=4.045 based on Lyman-alpha, SiII, SiII*, OI, CII and SiIV
among other lines. Our previous estimate was off due to a
calculation error for which we apologise.""",4.045,GRB 060206,ALFOSC,Spectroscopic,4.045
481,1999-12-18 01:25:49.000,"GRB 991208 Keck SpectroscopyGRB 991208 Keck Spectroscopy

S. G. Djorgovski, A. Dierks, J. S. Bloom, S. R. Kulkarni (Caltech),
A. V. Filippenko (UC Berkeley), L. A. Hillenbrand, and J. Carpenter 
(Caltech), report on behalf of the Caltech-CARA-NRAO GRB collaboration:

We recalibrated and combined the Keck spectra of GRB 991208 obtained on
14 and 15 Dec 1999 UT, for which preliminary results were reported earlier 
(GCN #460, GCN #464).  Addition of the spectra improved the total S/N as
expected.  We confirm the existence of emission lines at the observed 
wavelengths 6356, 8454, and 8545 Ang, reported by Dodonov et al. (GCN #475).  
We agree with their proposed identifications as [O II] 3727, and [O III] 
4959, 5007, giving the redshift z = 0.7055 +- 0.0005.  However, we note 
that the proximity of the strong night sky lines (especially for the 
tentative 8454 Ang line), and additional spectroscopic observations are 
still needed in order to firm up this result.

Assuming z = 0.7055, and the standard Friedmann cosmology with h = 0.65,
Omega_0 = 0.2, and Lambda_0 = 0, the luminosity distance is 1.30E28 cm.
Assuming the integrated gamma-ray fluence of >~ 1.E-4 erg/cm2 (GCN #450), 
the implied isotropic energy is ~ 1.3E53 erg, which of course may be
affected by beaming.

We also performed a power-law fit to the fully calibrated and extinction
corrected spectrum from UT Dec. 15.64.  For F_nu ~ nu ** beta, we obtain 
beta = -0.9 +- 0.15, in a good agreement with the photometric measurement 
reported by Bloom et al. (GCN #480).

This message may be cited.",0.7055 +- 0.0005,GRB 991208,Keck Observatory,Spectroscopic,0.7055
4592,2006-01-25 09:40:11.000,"GRB 060124: Keck Absorption RedshiftS. B. Cenko (Caltech), E. Berger (Carnegie Observatories) and J. Cohen
(Caltech) report on behalf of a larger collaboration:

""We obtained two 1800 sec spectra of GRB 060124 (Holland et al., GCN 4570)
with the Echellette Spectrograph and Imager (ESI) on the Keck 10-m
telescope starting on 2006 Jan. 25.23 UT.  We detect the broad absorption
feature detected by Mirabal and Halpern (GCN 4591), which is clearly a
doublet, and identify it as CIV 1548,1550 at z=2.297.  We also detect the
MgII 2796,2803 at the same redshift.  At this redshift and given a
fluence of about 7e-6 erg/cm^2 (Fenimore et al., GCN 4586) we find an
isotropic-equivalent gamma-ray energy of 8.9e52 erg.""",2.297,GRB 060124,Keck 10-m telescope,Spectroscopic,2.297
4545,2006-01-18 20:26:34.000,"GRB 060116: photometric redshift - the farthest GRB?A. Grazian (INAF/OAR), A. Fernandez-Soto (Univ. Valencia), V. Testa 
(INAF/OAR), D. Fugazza, P. D'Avanzo (INAF/OABr), L.A. Antonelli (INAF/OAR), D. 
Malesani (SISSA/ISAS), G. Chincarini (Univ. Milano-Bicocca), G. 
Tagliaferri, S. Campana, S. Covino (INAF/OABr), M. Della Valle 
(INAF/OAA), F. Fiore, S. Piranomonte, and L. Stella (INAF/OAR), report 
on behalf of the MISTICI collaboration:

The near-infrared counterpart (Kocevski, Bloom & McGrath, GCNs 4528, 
4540) of GRB 060116 (Campana et al., GCN 4519; Barthelmy et al., GCN 
4531) was observed again with the ESO VLT, adopting the FORS1 and ISAAC 
instruments. Observations were clustered around 2005 Jan 18.1 UT.

The afterglow is clearly detected in the J, H and K filters, and is seen 
to decline achromatically in J and K, comparing our new measurements 
with those secured during the night of Jan 16 (D'Avanzo et al., GCN 
4532; Malesani et al., GCN 4541). The power law decay index is alpha ~ 1.

The object is also detected in the z band, but is not seen in the I and 
R filters.

By fitting the available photometry with a power law suppressed by 
neutral Hydrogen absorption, we measure a photometric redshift z = 6.7 
and z = 6.6 for the first and second night, respectively. Combining 
together the two datasets, we get z = 6.60, the 1-sigma confidence 
interval being 6.45 < z < 6.75. The observed NIR spectral index 
(rest-frame UV) is quite steep, indicating
significant extinction in the rest frame.

GRB 060116 may thus be the farthest observed GRB, and rank among the 
most distant objects detected to date in the Universe.

We would like to acknowledge the painstaking work of the ESO staff to 
perform our service-mode observations. In particular, the ISAAC NIR 
observations were carried out during technical time. We are particularly 
grateful to Gianni Marconi, Jose Cortes, Lorena Faundez, Elena Mason, 
and Dominique Naef.

This message can be cited.

[GCN OPS NOTE(18jan06): Per athor's request, D. Fugazza was added to the author list.]",6.6,GRB 060116,ESO VLT,Photometric,6.6
4544,2006-01-18 17:45:03.000,"GRB 060117: pseudo-z from spectral parameters of the prompt emissionA. Pelangeon & J-L. Atteia (LATT-OMP) report:

We have used the spectral parameters of GRB 060117
provided by Golenetskii et al. (GCNC 4542) to
compute the spectral pseudo-redshift of this burst
detected by SWIFT-BAT (Campana et al., GCNC 4533;
Cummings et al., GCNC 4538).

We find a pseudo-redshift pz= 0.45 +/- 0.2

This is significantly lower than the pseudo-redshift computed from
the lag-luminosity relation (pz=1.3, GCNC 4538, Cummings et al.).
This small pseudo-redshift suggests that the supernova associated
with GRB 060117 could be detectable.

We encourage observers to follow-up this GRB at various wavelengths
to look for the possible emergence of the supernova.",0.45 +/- 0.2,GRB 060117,"SWIFT-BAT, GCNC 4533; Cummings et al., GCNC 4538",Spectroscopic,0.45
4271,2005-11-14 17:54:48.000,"GRB 051111: Further spectroscopic analysisJ.X. Prochaska (UCO/Lick) on behalf of GRAASP reports:

""We have further analyzed the Keck/HIRES spectrum of GRB 051111.
A total integration of 5400s was acquired covering 4200-8400Ang
with a SNR~20 per 1.3km/s pixel at 5500Ang.  The main component
is ~30km/s wide, contains 90% of the gas and is centered at
z=1.54948 +/- 0.00001.  The full line-profile, however, spans
~250km/s.

The gas in the GRB host is remarkable for several reasons:
(1) The SiII 1808 and ZnII 2026, 2062 transitions are saturated
implying log N(Zn) > 13.5 and log N(Si) > 15.9.  We believe these are
the largest Zn and Si column densities recorded outside the Local Group;
(2) The observed Zn/Fe ratio is [Zn/Fe] > 1.2 indicating significant
differential depletion;  (3) We detect the fine-structure SiII* 1816
transition and observe that the weak MgI 2026 transition is saturated.
(4) Perhaps more stunning, we detect nearly every FeII excited  
transition
in the Morton catalog redward of 2300Ang.  This includes several
transitions from the 977K excited level.  These suggest both a large
volume density and a warm gas.

We place a lower limit to N(HI) assuming a solar metallicity for
the gas: log N(HI) > 20.8.  The high metal column density and
significant differential depletion imply a rest-frame V-band
extinction A(V) > 0.5mag.  Adopting the Milky Way extinction curve,
this implies an observed R-band extinction A(R_obs) > 1.4mag.
The extinction is several times larger if one adopts the SMC or
Calzetti curves.

We also identify a very strong intervening MgII system at z=1.18975.

These data were kindly obtained by the Keck observing staff during
engineering and will be publically released.  For now, the raw data
are archived at www.graasp.org.""

This GCN may be cited.",1.54948,GRB 051111,Keck observing staff,Spectroscopic,1.54948
4156,2005-10-24 07:56:02.000,"GRB051022: host galaxy redshiftA. Gal-Yam (Caltech), E. Berger (OCIW), D. B. Fox (Penn State), A. M.
Soderberg, S. B. Cenko, P. B. Cameron (Caltech) and D. A. Frail (NRAO) 
report on behalf of the Caltech-NRAO-Carnegie collaboration:

""We observed galaxy ""B"" (GCN 4143), located within the XRT error circle of the
HETE GRB 051022 (GCN 4131; 4137; 4141) and coincident with the radio afterglow
detected by Cameron et al. (GCN 4154), using the double spectrograph mounted
on the 200"" Hale telescope at Palomar Observatory. Preliminary reduction of 
a 3600s-long red spectrum of this galaxy reveals a strong line at observed 
wavelength 6736 Angstrom which we identify as OII 3727 at z=0.8. This
identification is supported by weaker detections of OIII 5007 and 4959, as
well as Hbeta and Hgamma. We conclude that the likely host of GRB 051022
is at z=0.8. Further analysis is underway.""",0.8,GRB 051022,"200"" Hale telescope at Palomar Observatory",Spectroscopic,0.8
4086,2005-10-11 15:50:20.000,"GRB 051008: - a high redshift high-luminosity burst?A. Pelangeon & J-L. Atteia (LAT-OMP) report:

We have used the spectral parameters of the most intense part
of GRB 051008 provided by Golenetskii et al. (GCNC 4078),
to compute the spectral pseudo-redshift of this GRB.

We find a pseudo-redshift pz= 5.2 +/- 1.3

We thank V. Pal'shin for providing the fluence of this GRB during
the interval extending from T0 to T0+8.192 sec (KONUS time).

This notice can be cited.",5.2 +/- 1.3,GRB 051008,LAT-OMP,Spectroscopic,5.2
40328,2025-05-03 02:52:49.610,"GRB 250502A: Redshift from OSIRIS+/GTC z = 2.163A. de Ugarte Postigo (LAM), J. F. Agui Fernandez (CAHA), C. C. Thoene (AbAO), B. Schneider (LAM), N. A. Rakotondrainibe (LAM), D. B. Malesani (DAWN/NBI and Radboud), A. Martin-Carrillo (UCD), M. A. Aloy (UV), J. P. U. Fynbo (DAWN/NBI), L. Galbany (IEEC-CSIC), S. Geier (GTC), L. Izzo (INAF/OACN and DARK/NBI), G. Lombardi (GTC), N. R. Tanvir (Univ. Leicester), A. Tejero (GTC) and D. Garcia-Alvarez (GTC) report

We observed the afterglow of the SVOM GRB 250502A (Wang et al. GCN 40313; Rakotondrainibe et al. GCN 40315; An et al. GCN 40319; Li et al. GCN 40320; Ghosh et al. GCN 40322) using OSIRIS+ on the 10.4m GTC telescope, at Roque de los Muchachos Observatory (La Palma, Spain). The observation started at 2025-05-03T00:34:49 UT (15.806 hrs after the burst) and consisted of acquisition imaging in r-band followed by 3x1200s exposures of spectroscopy using grism R1000B, covering the range between 3600 and 7800 AA at a resolving power of ~ 600.

In the acquisition image the afterglow is detected at an AB magnitude of r = 21.00 +/- 0.03, as compared to PanSTARRS field stars.

The spectrum shows a clear continuum over the complete spectral range with multiple absorption features that we identify as Ly-alpha, SII, OI, SiII, SiII*, CII, SiIV, CIV, FeII, FeII*, AlII, AlIII at a common redshift of z = 2.163, which we identify as the redshift of the GRB. We also note the presence of a prominent emission of Lyman alpha.

",z = 2.163,GRB 250502A,OSIRIS+/GTC,Spectroscopic,2.163
4032,2005-09-23 17:37:41.000,"GRB050922C: TNG spectroscopic observationsS. Piranomonte (INAF/OAR), A. Magazzu (TNG), G. Mainella (TNG),
F. Fiore (INAF/OAR), S. Covino (INAF/OABr), D. Fugazza (INAF/OABr),
A. Antonelli (INAF/OAR), G. Israel (INAF/OAR), G. Chincarini (Univ. Milano-Bicocca),
D. Malesani (SISSA), , F. Mannucci (INAF/Arcetri), G. Tagliaferri (INAF/OABr),
and L. Stella (INAF/OAR) on behalf of the CIBO collaboration, report:

Starting on September 22 21:17:35 UT (about 82 min after the GRB
trigger) we have obtained low resolution spectra 
of the optical afterglow of GRB050922C (Rykoff et al. 
GCN#4012). The observations consisted of 5 exposures for 300 sec each with
DOLORES@TNG, using grism LR-B, with a 1"" slit. This set-up provides
a resolution of about 5 angstrom.

At the time of the observations the afterglow magnitude varied between  
R~16.7 and R=17.7. 

A preliminary analysis of the data confirms a very rich spectrum
(see Jakobsson et al. GCN#4017, GCN#4029).
We detect strong  Lyalpha, SiII1304, CII1334, SiIV1393, SiII1526,
CIV1548,1550, AlII1670, SiII1808 absorption lines at z=2.198+/-0.001,
We also confirm the  strong Lyalpha absorption at z=2.07.

A full analysis is underway.

We thank the TNG staff for the excellent support in performing these
observations.

This message can be quoted.",2.198+/-0.001,GRB050922C,DOLORES@TNG,Spectroscopic,2.198
40301,2025-05-01 10:00:04.909,"GRB 250430A / EP250430a: VLT/X-shooter spectroscopic redshift z = 0.767M. Garnichey (LUX-Paris Obs.), A. Saccardi (CEA/Irfu), B. Schneider (LAM), G. Corcoran (UCD), N. Habeeb (Leicester), D. B. Malesani (DAWN/NBI and Radboud), A. Martin-Carrillo (UCD), N. R. Tanvir (Leicester), A. L. Thakur (INAF/IAPS), A. de Ugarte Postigo (LAM) report on behalf of the Stargate collaboration:

We observed the optical counterpart (Parsotan et al., GCN 40292; Odeh et al., GCN 40295) of GRB 250430A / EP250430a (Parsotan et al., GCN 40292; Wang et al., GCN 40299) with the ESO VLT UT3 (Melipal) equipped with the X-shooter spectrograph. Our spectra cover the wavelength range 3000 - 21000 AA, and consist of 4 exposures of 600 s each. The observation mid time was 2025 May 01 at 04:00:11 UT (10.87 hr after the Swift/BAT trigger).

In a 3x30-s image, taken in the r band at a mid time of 10.34 hr after the trigger, the optical counterpart is detected at RA, Dec 233.3872, -18.1184 which is equivalent to:

RA (J2000) = 15:33:32.93
Dec (J2000) = -18:07:06.3

These coordinates are in good agreement with those reported by Odeh et al. (GCN 40295). We measure a preliminary AB magnitude r = 21.97 +/- 0.06, calibrated against nearby stars from the Pan-STARRS catalog.

In a preliminary reduction of the spectra, we observe a continuum over the entire covered wavelength range, fainter in the UVB and VIS arms than in the NIR. A few absorption features are detected, which we interpret as the Mg II doublet (2796, 2804) and Fe II (2374, 2383, 2587, 2600), all at the common redshift z = 0.767. No emission lines are observed across the whole covered spectrum.

We note the presence of a catalogued object in the Legacy Survey DR10 at a position consistent with the optical afterglow. The magnitudes of the galaxy are g = 24.59 +/- 0.25, r = 23.22 +/- 0.10, i = 21.96 +/- 0.05, and z = 21.35 +/- 0.04, and its centroid is 0.5"" away from the optical afterglow position. Our spectroscopic redshift measurement is consistent with the photometric redshift value provided of 0.89 +/- 0.11. This object is the likely host galaxy of GRB 250430A, though we notice that its red colors and lack of emission lines are not typical of a long (collapsar) GRB host.

We acknowledge excellent support from the ESO observing staff in Paranal, in particular Celia Desgrange, Rodrigo Palominos, and Camila de Sa Freitas. The analysis of this spectrum was carried out with the help of the zHunter tool (https://doi.org/10.5281/zenodo.15189495).",0.767,GRB 250430A,ESO VLT UT3 (Melipal),Spectroscopic,0.767
4029,2005-09-23 15:39:42.000,"GRB 050922C: Refined redshiftPáll Jakobsson, Johan P. U. Fynbo, (DARK, NBI), Danka Paraficz,
John Telting (NOT, La Palma), Brian L. Jensen, Jens Hjorth and
José María Castro Cerón (DARK, NBI) report:

Using new wavelength calibration files, we have refined the
GRB 050922C redshift obtained at the NOT (GCN 4017). Based on the
detection of Lyman-alpha, OI+SiII, CII, SiIV, FeII, AlII, SiII* and
SiII in absorption, we measure a redshift of z = 2.198+-0.001.

There is additional strong absorption, possibly corresponding to
Lyman-alpha at z = 2.07.",2.198+-0.001,GRB 050922C,NOT (La Palma),Spectroscopic,2.198
39893,2025-03-28 00:17:12.710,"GRB 250327B: NOT spectroscopic redshift z = 3.035D. B. Malesani (DAWN/NBI and Radboud), B. Schneider (LAM), A. Martin-Carrillo (UCD), A. Saccardi (CEA/Irfu), J. T. Palmerio (CEA/Irfu), G. Corcoran (UCD), B. P. Gompertz (Birmingham), A. de Ugarte Postigo (LAM), T. Pursimo (NOT), report on behalf of a larger collaboration:

We observed the optical afterglow (Moskvitin et al., GCN 39889; Xin et al., GCN 39890; O'Neill et al., GCN 39891) of the SVOM GRB 250327B (Bouchet et al., GCN 39888) using the Nordic Optical Telescope (NOT) equipped with the ALFOSC spectrograph. The covered wavelength range (grism #4) is 3200 - 9600 AA.

In an image of 2x180 s in the r-band, starting on 2025 Mar. 27 at 22:48:21 (1.7 hr after the trigger), we measure  r = 17.13 +/- 0.04 (AB). The photometric calibration was performed using nearby stars from the Pan-STARRS catalog and the magnitude is not corrected for Galactic extinction.

Based on a preliminary reduction, the spectrum shows bright continuum all the way to the red, with a strong trough around 4900 AA and a break blueward of it, typical of DLA absorption and Lyman forest. From detection of multiple absorption features, which we interpret as due to, among others, Si II, C II, S IV, C IV, Fe II, Al II, we measure a redshift z = 3.035.",3.035,GRB 250327B,Nordic Optical Telescope (NOT),Spectroscopic,3.035
39859,2025-03-24 11:41:00.906,"GRB 250322A: VLT/X-shooter redshift confirmation of the putative host galaxy Yu-Han Yang (U Rome), Eleonora Troja (U Rome), Rosa Becerra (U Rome), Massine El Kabir (U Rome)  report on behalf of the ERC BHianca team:

We observed the bright galaxy within the localization of GRB 250322A (Gupta et al., GCN 39835, Goad et al. GCN 39841, Martin-Carillo et al. GCN 39842) with the X-Shooter spectrograph on the ESO VLT UT3 (Melipal). Observations began at T+32.2 hours and obtained a total of 2x600s spectra at an average airmass of about 1.2 and seeing of 0.6”. 

We detect a bright continuum in the VIS and NIR arms and identify multiple emission lines, including H_alpha, H_beta, NII, OII, SII, at a common redshift of 0.4215±0.0005, consistent with measurement by Fong et al. (GCN 39852). We estimated that the chance coincidence between the bright galaxy and the XRT localization is <2% (Bloom et al. 2002), supporting it as a likely host galaxy of the GRB.

We thank the staff at the VLT, for the rapid execution of these observations.
",0.4215±0.0005,GRB 250322A,ESO VLT UT3 (Melipal),Spectroscopic,0.4215
39732,2025-03-15 12:45:58.939,"GRB 250314A: VLT/X-shooter dropout, redshift z ~ 7.3D. B. Malesani (DAWN/NBI and Radboud), G. Pugliese (API-UvA), J. P. U. Fynbo (DAWN/NBI), B. Schneider (LAM), V. D’Elia (SSDC and INAF-OAR), A. de Ugarte Postigo (LAM), L. Izzo (INAF-OACn and DARK/NBI), P. G. Jonker (Radboud), A. J. Levan (Radboud and Warwick), J. T. Palmerio (CEA/Irfu), N. A. Rakotondrainibe (LAM), A. Saccardi (CEA/Irfu), N. R. Tanvir (U. Leicester), A. L. Thakur (INAF-IAPS), S. D. Vergani (CNRS, Obs. Paris/LUX), D. Xu (NAOC), Z.P. Zhu (NAOC) report on behalf of the Stargate collaboration:

We observed the near-infrared candidate counterpart (Malesani et al., GCN 39727) of the long SVOM/ECLAIRs GRB 250314A (Wang et al., GCN 39719) at the ESO VLT, using the HAWK-I near-infrared imager (on UT4, Kueyen) and the X-shooter spectrograph (on UT3, Melipal).

The object is well detected in the Y, J and H filters. HAWK-I observations started on 2025 Mar 15 at 05:23:28 UT (about 16.5 hr after the GRB). We measure preliminary AB magnitudes:

Y = 23.2 +/- 0.15
J = 22.4 +/- 0.1
H = 22.5 +/- 0.1

For the spectra, the observation mid time was 2025 Mar 15.26 UT (about 17.4 hr after the GRB). The data cover the wavelength range 3000-21,000 AA and consist of 4 exposures of 1200 s each.

In a preliminary reduction of the spectra, a faint continuum is confidently detected all across the NIR arm (down to 10,300 AA). Tentative signal is also seen in the very red end of the VIS arm, with a drop around 10,090 AA. While the S/N is too low to confidently identify individual metal absorption features, the break in the VIS is consistent with the onset of the Lyman forest (with possible contribution from damped Lyman-alpha absorption in the GRB host galaxy). The implied redshift is z ~ 7.3.

The HAWK-I photometry is consistent with a break, rather than with a generically red shape of the continuum, given the red Y-J vs blue J-H color, consistent with the Y filter being partly dropped out. Assuming a power law model (no dust extinction), a fit to the available photometry provides a redshift z = 7.21 +0.18 -0.38 (1 sigma c.l.), fully consistent with the spectroscopic value.

We acknowledge expert support from the ESO staff in Paranal, in particular Cedric Ledoux, Enrico Congiu, Francisco Nogueras-Lara, Pascale Hibon, Rodrigo Romero, and Susana Cerda.",7.3,GRB 250314A,ESO VLT,Spectroscopic,7.3
3949,2005-09-08 14:31:28.000,"Gemini Spectroscopy of GRB 050908R. J. Foley (UCB), H.-W. Chen (UChicago), J. S. Bloom (UCB), and Jason X.
Prochaska (UCO/Lick Observatory) report:

""We obtained 2x1200 sec dithered exposures of the optical candidate (GCN
3943) of GRB 050908 using GMOS on the Gemini-North telescope with the B600
grating. The observations started at 20050908.39 UT (~ 4 hrs after the
initial Swift trigger). We measure a redshift of z = 3.3437 +/- 0.0002
based on a series of absorption features due to HI 1215, SiIII 1206, SiII
1260, SiIV 1393, 1402, and CIV 1548, 1550. We also observe a flux
discontinuity at 5285.9 Ang at the onset of the Lya forest absorption from
the intergalactic medium. Our redshift measurement is somewhat lower than
but still consistent with the redshift of 3.350 +/- 0.005 reported by
Fugazza et al. (GCN 3948). Using the HI 1215 absorption line, we estimate
a neutral hydrogen column density of log N(HI) ~ 19.2.

In addition to this system, which we contend is the redshift of the host
galaxy, we see several other, intervening systems at z = 2.81 and 3.039.
The system at z = 2.81 is particularly interesting. It shows CIII 1909 and
CIV 1549 emission.""",3.3437 +/- 0.0002,GRB 050908,Gemini-North telescope,Spectroscopic,3.3437
3937,2005-09-07 16:38:55.000,"GRB 050904: Subaru Optical SpectroscopyN. Kawai (Tokyo Tech), T. Yamada (NAOJ), G. Kosugi, T. Hattori, and
K. Aoki (Subaru/NAOJ) report on behalf of Subaru GRB team:

""We observed the field of GRB 050904 (GCN 3910) with Faint Object
Camera And Spectrograph on the Subaru 8.2m telescope atop Mauna
Kea on the night of September 6, approximately 3.5 days after the
burst.  We obtained spectra of the afterglow candidate (Haislip et
al. GCN 3913, 3922, D'Avanzo et al. GCN 3921).

Based on the absorption features we measure the redshift to be
z=6.29 +- 0.01, confirming the photometoric redshift reported
earlier (Haislip et al. GCN 3914, 3919, Antonelli et al. GCN 3924).""

This message may be cited.",6.29,GRB 050904,Subaru 8.2m telescope,Spectroscopic,6.29
39071,2025-01-29 07:24:10.847,"GRB 250129A: VLT/X-shooter redshift of z = 2.151B. Schneider (LAM), A. Saccardi (CEA/Irfu), D. B. Malesani (DAWN/NBI and Radboud Univ.), S. D. Vergani (CNRS, Obs. Paris/LUX), N. R. Tanvir (U. Leicester), V. D’Elia (ASI-SSDC and INAF-OAR), A. de Ugarte Postigo (CNRS, OCA and LAM), L. Izzo (INAF-OACn and DARK/NBI) report on behalf of the Stargate collaboration:

We observed the optical afterglow (Francile et al., GCN 39065) of GRB 250129A (Beardmore et al., GCN 39066) using the ESO VLT UT3 (Melipal) equipped with the X-shooter spectrograph. Observations were performed via the rapid-response mode (RRM) system. Our spectra cover the wavelength range 3000-25000 AA, and consist of 4x600 s. The observation mid time was 2025 Jan 29.2528 UT (1.315 hr after the GRB).

In a 5 s image taken with the acquisition camera on Jan 29.237 UT, we detect the optical afterglow, for which we measure a magnitude r =16.72 +- 0.02 AB (calibrated against nearby stars from the Pan-STARRS catalogue).

In a preliminary reduction of the spectra, we clearly detect a continuum over the entire wavelength range. From the detection of a broad Lya absorption at ~3830 AA and multiple absorption features, which we interpret as due to N V, Si II, Si II*, O I, O I*, C II, C II*, Al II, Si IV, C IV, Fe II, Fe II*, Mg II, we infer a common redshift of z = 2.151.

We notice the presence of at least one intervening system at z = 1.89, as identified by an additional Lya absorption and multiple absorption lines (C II, Si II, Fe II, Al II, and Mg II).

We acknowledge expert support from the ESO staff in Paranal, in particular Abel de Burgos, Celia Desgrange, Luca Sbordone, Robert Klement, Rodrigo Palomino, and Sam Kim.",2.151,GRB 250129A,ESO VLT UT3 (Melipal),Spectroscopic,2.151
